"id"|"shortname"|"fullname"|"homepage"
"4593"|"NUSOD"|"International Conference on Numerical Simulation of Optoelectronic Devices"|"http://ieeexplore.ieee.org/xpl/conhome.jsp?punumber=1000510"
"145"|"LPNMR"|"Logic Programming and Non-monotonic Reasoning"|"http://sites.google.com/site/lpnmr11/"
"187"|"NIPS"|"Neural Information Processing Systems"|"http://nips.cc/Conferences/2010/"
"22"|"ICDE"|"International Conference on Data Engineering"|"http://www.icde2011.org/"
"4250"|"CLEO EUROPE/EQEC"|"Lasers and Electro-Optics Europe Conference on and European Quantum Electronics Conference"|"http://ieeexplore.ieee.org/xpl/conhome.jsp?punumber=1800474"
"1589"|""|"Storage and Retrieval for Image and Video Databases"|"http://www.informatik.uni-trier.de/~ley/db/conf/spieSR/index.html"
"1223"|"ISCAS"|"IEEE International Symposium on Circuits and Systems"|"http://www.iscas2011.org/"
"1652"|"SIGCOMM"|"ACM SIGCOMM Conference"|"http://conferences.sigcomm.org/sigcomm/2011/"
"541"|"BMVC"|"British Machine Vision Conference"|"http://www.computing.dundee.ac.uk/bmvc2011/"
"838"|"CVPR"|"Computer Vision and Pattern Recognition"|"http://cvpr2011.org/"
"745"|"Hypertext"|"ACM Conference on Hypertext"|"http://www.ht2010.org/"
"4039"|"ICICT"|"ITI International Conference on Information and Communications Technology"|"http://ieeexplore.ieee.org/xpl/conhome.jsp?punumber=1001665"
"2771"|"ICASSP"|"International Conference on Acoustics, Speech, and Signal Processing"|"http://www.icassp2011.com/"
"1223"|"ISCAS"|"IEEE International Symposium on Circuits and Systems"|"http://www.iscas2011.org/"
"1096"|"ICIP"|"International Conference on Image Processing"|"http://www.icip2011.com/"
"1083"|"ICDAR"|"International Conference on Document Analysis and Recognition"|"http://www.icdar2011.org/"
"657"|"ECCV"|"European Conference on Computer Vision"|"http://eccv2012.unifi.it/"
"687"|"EuroCOLT"|"European Conference on Computational Learning Theory"|"http://colt2011.sztaki.hu/"
"1015"|"GCSE"|"Generative and Component-Based Software Engineering"|"http://www.enjoywise.org/gcse2011/"
"585"|"COCOON"|"Computing and Combinatorics"|"http://theory.utdallas.edu/COCOON11/"
"2821"|"IROS"|"International Conference on Intelligent RObots and Systems - IROS"|"http://www.iros2011.org/"
"838"|"CVPR"|"Computer Vision and Pattern Recognition"|"http://cvpr2011.org/"
"1095"|"ICICS"|"International Conference on Information and Communication Security"|"http://www.informatik.uni-trier.de/~ley/db/conf/icics/index.html"
"2699"|"ICCS"|"International Conference on Computational Science"|"http://www.iccs-meeting.org/iccs2011"
"1644"|"AICPS"|"ACM International Conference Proceeding Series"|""
"657"|"ECCV"|"European Conference on Computer Vision"|"http://eccv2012.unifi.it/"
"1520"|"RECOMB"|"Research in Computational Molecular Biology"|"http://compbio.cs.sfu.ca/recomb2011/index.html"
"1099"|"CSC"|"ACM Annual Computer Science Conference"|"http://www.informatik.uni-trier.de/~ley/db/conf/acm/index.html"
"2436"|"SemWiki"|"Semantic Wikis"|""
"2436"|"SemWiki"|"Semantic Wikis"|""
"38"|"ICRA"|"International Conference on Robotics and Automation"|"http://www.icra2011.org/show.asp?id=35"
"3342"|"ICCES"|"International Conference on Computer Engineering and Systems"|"http://ieeexplore.ieee.org/xpl/conhome.jsp?punumber=1001555"
"661"|"ECML"|"The European Conference on Machine Learning and Principles and Practice of Knowledge Discovery in Databases"|"http://www.ecmlpkdd2011.org/"
"377"|"SNPD"|"Software Engineering, Artificial Intelligence, Networking and Parallel/Distributed Computing"|"http://www.informatik.uni-trier.de/~ley/db/conf/snpd/index.html"
"506"|"WM"|"Wissensmanagement"|"http://www.wm-konferenz2011.org/indexEN.html"
"1083"|"ICDAR"|"International Conference on Document Analysis and Recognition"|"http://www.icdar2011.org/"
"431"|"UIST"|"User Interface Software and Technology"|"http://www.acm.org/uist/uist2011/call/index.html"
"662"|"ECOOP"|"European Conference on Object-Oriented Programming"|"http://2011.ecoop.org/"
"392"|"STOC"|"ACM Symposium on Theory of Computing"|"http://www2.research.att.com/~dsj/stoc11/stoc11.html"
"4293"|"ACC"|"American Control Conference"|"http://ieeexplore.ieee.org/xpl/conhome.jsp?punumber=1000030"
"669"|"EH"|"Evolvable Hardware"|"http://www.informatik.uni-trier.de/~ley/db/conf/eh/index.html"
"2536"|"MUC"|"Message Understanding Conference"|""
"81"|"IQ"|"MIT Conference on Information Quality"|"http://www.informatik.uni-trier.de/~ley/db/conf/iq/index.html"
"1100"|""|"Autonome Mobile Systeme"|"http://www.informatik.uni-trier.de/~ley/db/conf/ams/index.html"
"3389"|"CSA"|"International Symposium on Computer Science and its Applications"|"http://ieeexplore.ieee.org/xpl/conhome.jsp?punumber=1002483"
"20"|"ICCV"|"International Conference on Computer Vision"|"http://www.iccv2011.org/"
"4365"|"ICM"|"International Conference on Microelectronics"|"http://ieeexplore.ieee.org/xpl/conhome.jsp?punumber=1000443"
"789"|"CHI"|"Computer Human Interaction"|"http://www.chi2011.org/"
"537"|"BioMED"|"Biomedical Engineering"|"http://www.iasted.org/conferences/home-723.html"
"537"|"BioMED"|"Biomedical Engineering"|"http://www.iasted.org/conferences/home-723.html"
"127"|"KR"|"Principles of Knowledge Representation and Reasoning"|"http://kr.org/KR2010/"
"2771"|"ICASSP"|"International Conference on Acoustics, Speech, and Signal Processing"|"http://www.icassp2011.com/"
"1478"|""|"PHOENIX Workshops"|"http://www.informatik.uni-trier.de/~ley/db/conf/phoenix/index.html"
"3727"|"MELECON"|"MELECON - IEEE Mediterranean Electrotechnical Conference"|"http://ieeexplore.ieee.org/xpl/conhome.jsp?punumber=1000259"
"38"|"ICRA"|"International Conference on Robotics and Automation"|"http://www.icra2011.org/show.asp?id=35"
"590"|"SOCG"|"Symposium on Computational Geometry"|"http://socg2011.inria.fr/"
"789"|"CHI"|"Computer Human Interaction"|"http://www.chi2011.org/"
"15"|"ICCD"|"International Conference on Computer Design"|"http://www.world-academy-of-science.org/worldcomp11/ws/conferences/cdes11"
"1821"|"BROADNETS"|"International Conference on Broadband Networks"|""
"1821"|"BROADNETS"|"International Conference on Broadband Networks"|""
"4609"|"OFC"|"Optical Fiber Communication"|"http://ieeexplore.ieee.org/xpl/conhome.jsp?punumber=1000522"
"11"|"ICCAD"|"International Conference on Computer Aided Design"|"http://iccad.com/2010/index.html"
"961"|""|"EvoWorkshops"|"http://www.informatik.uni-trier.de/~ley/db/conf/evoW/index.html"
"11"|"ICCAD"|"International Conference on Computer Aided Design"|"http://iccad.com/2010/index.html"
"3765"|"IECEC"|"Energy Conversion Engineering Intersociety Conference"|"http://ieeexplore.ieee.org/xpl/conhome.jsp?punumber=1000266"
"2140"|"ISSRE"|"International Symposium on Software Reliability Engineering"|"http://www.issre2010.org/"
"458"|"VLDB"|"Very Large Data Bases"|"http://www.vldb.org/2011/"
"2669"|"CIRA"|"Computational Intelligence in Robotics"|"http://dblp.uni-trier.de/db/conf/cira/index.html"
"204"|"PAKDD"|"Pacific-Asia Conference on Knowledge Discovery and Data Mining"|"http://pakdd2011.pakdd.org/"
"4733"|"ISPLC"|"IEEE International Symposium on Power Line Communications and Its Applications"|"http://ieeexplore.ieee.org/xpl/conhome.jsp?punumber=1001141"
"403"|"TARK"|"Theoretical Aspects of Rationality and Knowledge"|"http://www.philos.rug.nl/TARK2011/"
"162"|"MICRO"|"International Symposium on Microarchitecture"|"http://www.microarch.org/micro44/"
"39"|"ICS"|"International Conference on Supercomputing"|"http://ics11.cs.arizona.edu/cfp.html"
"1096"|"ICIP"|"International Conference on Image Processing"|"http://www.icip2011.com/"
"62"|"IICIS"|"Integrity and Internal Control in Information Systems (IFIP TC11)"|"http://www.informatik.uni-trier.de/~ley/db/conf/tc11-5/index.html"
"838"|"CVPR"|"Computer Vision and Pattern Recognition"|"http://cvpr2011.org/"
"1307"|""|"Logic at Work"|"http://www.informatik.uni-trier.de/~ley/db/conf/law/index.html"
"145"|"LPNMR"|"Logic Programming and Non-monotonic Reasoning"|"http://sites.google.com/site/lpnmr11/"
"593"|"CONCUR"|"International Conference on Concurrency Theory"|"http://concur2011.rwth-aachen.de/"
"5168"|"TELSIKS"|"International Conference on Telecommunications in Modern Satellite, Cable and Broadcasting Service"|"http://ieeexplore.ieee.org/xpl/conhome.jsp?punumber=1000747"
"918"|"EDOS"|"Enterprise Distributed Object Computing Conference"|"http://edoc2011.cs.helsinki.fi/edoc2011/"
"467"|"VTS"|"IEEE VLSI Test Symposium"|"http://www.tttc-vts.org"
"1720"|""|"ibm centre for advanced studies conference"|""
"1140"|""|"IFIP TC3/WG3.2 Publications"|"http://www.informatik.uni-trier.de/~ley/db/conf/ifip3-2/index.html"
"716"|"FQAS"|"Flexible Query-Answering Systems"|"http://fqas2011.ugent.be"
"1108"|"ICPR"|"International Conference on Pattern Recognition"|"http://www.icpr2012.org/"
"204"|"PAKDD"|"Pacific-Asia Conference on Knowledge Discovery and Data Mining"|"http://pakdd2011.pakdd.org/"
"31"|"ICLP(JICSLP)"|"International Conference on Logic Programming/Joint International Conference and Symposium on Logic Programming"|"http://www.cs.uky.edu/iclp2011/"
"484"|"WebNet"|"World Conference on the WWW and Internet"|"http://www.informatik.uni-trier.de/~ley/db/conf/webnet/index.html"
"838"|"CVPR"|"Computer Vision and Pattern Recognition"|"http://cvpr2011.org/"
"270"|"ADBIS"|"Advances in Databases and Information Systems"|"http://www.ifs.tuwien.ac.at/ADBIS2011"
"270"|"ADBIS"|"Advances in Databases and Information Systems"|"http://www.ifs.tuwien.ac.at/ADBIS2011"
"2479"|"CCECE"|"Canadian Conference on Electrical and Computer Engineering"|"http://www.ccece2011.org"
"4208"|"IITC"|"Interconnect Technology, IEEE International Conference"|"http://ieeexplore.ieee.org/xpl/conhome.jsp?punumber=1000400"
"2634"|"ASMTA"|"Analytical and Stochastic Modeling Techniques and Applications"|""
"617"|"DASFAA"|"Database Systems for Advanced Applications"|"http://www.cintec.cuhk.edu.hk/DASFAA2011/"
"719"|"FSTTCS"|"Foundations of Software Technology and Theoretical Computer Science"|"http://www.fsttcs.org/index.php"
"2130"|"ISM"|"International Symposium on Multimedia"|""
"2479"|"CCECE"|"Canadian Conference on Electrical and Computer Engineering"|"http://www.ccece2011.org"
"101"|"ITC"|"International Test Conference"|"http://www.itctestweek.org/"
"20"|"ICCV"|"International Conference on Computer Vision"|"http://www.iccv2011.org/"
"594"|"CONPAR"|"Conference on Algorithms and Hardware for Parallel Processing"|"http://www.informatik.uni-trier.de/~ley/db/conf/conpar/index.html"
"706"|"FOCS"|"IEEE Symposium on Foundations of Computer Science"|"http://theory.stanford.edu/focs2010/"
"1956"|"ESWS"|"European Semantic Web Symposium / Conference"|"http://www.eswc2010.org/"
"376"|"SmartNet"|"Intelligence in Networks"|"http://www.informatik.uni-trier.de/~ley/db/conf/smartnet/index.html"
"3085"|"WAC"|"World Automation Congress"|"http://ieeexplore.ieee.org/xpl/conhome.jsp?punumber=1001168"
"838"|"CVPR"|"Computer Vision and Pattern Recognition"|"http://cvpr2011.org/"
"1094"|"ICIAP"|"International Conference on Image Analysis and Processing"|"http://avires.dimi.uniud.it/iciap2011/dates.php"
"1223"|"ISCAS"|"IEEE International Symposium on Circuits and Systems"|"http://www.iscas2011.org/"
"2771"|"ICASSP"|"International Conference on Acoustics, Speech, and Signal Processing"|"http://www.icassp2011.com/"
"1108"|"ICPR"|"International Conference on Pattern Recognition"|"http://www.icpr2012.org/"
"352"|"SEBD"|"Sistemi Evoluti per Basi di Dati"|"http://www.sebd.org/2011"
"5178"|"THZ"|"International Conference on Terahertz Electronics"|"http://ieeexplore.ieee.org/xpl/conhome.jsp?punumber=1000752"
"4501"|"NaBIC"|"World Congress on Nature & Biologically Inspired Computing"|"http://ieeexplore.ieee.org/xpl/conhome.jsp?punumber=1800018"
"4501"|"NaBIC"|"World Congress on Nature & Biologically Inspired Computing"|"http://ieeexplore.ieee.org/xpl/conhome.jsp?punumber=1800018"
"556"|"CC"|"Compiler Construction"|"http://www.cs.ucr.edu/~gupta/CC%202010.htm"
"111"|"IWQoS"|"International Workshop on Quality of Service"|"http://www.ieee-iwqos.org"
"38"|"ICRA"|"International Conference on Robotics and Automation"|"http://www.icra2011.org/show.asp?id=35"
"225"|"POPL"|"ACM SIGPLAN-SIGACT Symposium on Principles of Programming Languages"|"http://www.cse.psu.edu/popl/11/"
"1476"|"PG"|"Pacific Conference on Computer Graphics and Applications"|"http://graphics.csie.ncku.edu.tw/PG2011/index.html"
"4492"|"NANOMED"|"IEEE International Conference on Nano/Molecular Medicine and Engineering"|"http://ieeexplore.ieee.org/xpl/conhome.jsp?punumber=1800098"
"214"|"PDPTA"|"Parallel and Distributed Processing Techniques and Applications"|"http://www.world-academy-of-science.org/worldcomp10/ws/conferences/pdpta10"
"2140"|"ISSRE"|"International Symposium on Software Reliability Engineering"|"http://www.issre2010.org/"
"590"|"SOCG"|"Symposium on Computational Geometry"|"http://socg2011.inria.fr/"
"943"|"ESORICS"|"European Symposium on Research in Computer Security"|"https://www.cosic.esat.kuleuven.be/esorics2011/"
"943"|"ESORICS"|"European Symposium on Research in Computer Security"|"https://www.cosic.esat.kuleuven.be/esorics2011/"
"442"|"USENIX"|"USENIX Technical Conference"|"http://www.usenix.org/events/atc10/"
"145"|"LPNMR"|"Logic Programming and Non-monotonic Reasoning"|"http://sites.google.com/site/lpnmr11/"
"163"|"Middleware(ODP)"|"International Conference on Distributed Systems Platforms and Open Distributed Processing/Open Distributed Processing"|"http://2011.middleware-conference.org/"
"163"|"Middleware(ODP)"|"International Conference on Distributed Systems Platforms and Open Distributed Processing/Open Distributed Processing"|"http://2011.middleware-conference.org/"
"622"|"DBSEC"|"IFIP Workshop on Database Security"|"http://www.egr.vcu.edu/dbsec2011/"
"961"|""|"EvoWorkshops"|"http://www.informatik.uni-trier.de/~ley/db/conf/evoW/index.html"
"1370"|"MobiHoc"|"Mobile Ad Hoc Networking and Computing"|"http://www.sigmobile.org/mobihoc/2010/"
"308"|"ASE"|"Automated Software Engineering"|"http://www.ase-conference.org/"
"2936"|"ICTON"|"International Conference on Transparent Optical Networks"|"http://ieeexplore.ieee.org/xpl/conhome.jsp?punumber=1000766"
