"id"|"shortname"|"fullname"|"homepage"
"8156"|"CHEM RES TOXICOL"|"Chemical Research in Toxicology"|"http://pubs.acs.org/journal/crtoec"
"299"|"CORR"|"Computing Research Repository"|"http://arxiv.org/corr/home"
"4496"|"COMPUT MATH APPL"|"Computers & Mathematics With Applications"|""
"1946"|"CHEM ENG SCI"|"Chemical Engineering Science"|""
"253"|""|"Sigmod Record"|"www.sigmod.org/record"
"8035"|"NEUROBIOL AGING"|"Neurobiology of Aging"|"http://www.elsevier.com/wps/find/journaldescription.cws_home/525480/description#description"
"11060"|"LANG LEARN"|"Language Learning"|"http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1467-9922"
"8156"|"CHEM RES TOXICOL"|"Chemical Research in Toxicology"|"http://pubs.acs.org/journal/crtoec"
"1730"|""|"Methods"|"http://www.sciencedirect.com/science/journal/10462023"
"8394"|"EUR PHYS J A"|"European Physical Journal A"|"http://www.springerlink.com/openurl.asp?genre=journal&issn=1434-6001"
"5383"|"IND ENG CHEM RES"|"Industrial & Engineering Chemistry Research"|"http://pubs.acs.org/journal/iecred"
"407"|""|"Neuroimage"|"http://www.apnet.com/www/journal/ni.htm"
"147"|"SIAMCOMP"|"Siam Journal on Computing"|"http://www.siam.org/journals/sicomp/sicomp.htm"
"7827"|"ANN N Y ACAD SCI"|"Annals of The New York Academy of Sciences"|""
"319"|"DCG"|"Discrete & Computational Geometry"|"http://link.springer.de/link/service/journals/00454/index.htm"
"8156"|"CHEM RES TOXICOL"|"Chemical Research in Toxicology"|"http://pubs.acs.org/journal/crtoec"
"7978"|"J CEREBR BLOOD FLOW METABOL"|"Journal of Cerebral Blood Flow and Metabolism"|"http://www.nature.com/jcbfm/index.html"
"7978"|"J CEREBR BLOOD FLOW METABOL"|"Journal of Cerebral Blood Flow and Metabolism"|"http://www.nature.com/jcbfm/index.html"
"796"|"AMC"|"Applied Mathematics and Computation"|"www.elsevier.com/locate/amc"
"153"|"DKE"|"Data & Knowledge Engineering"|"www.elsevier.com/locate/datak"
"126"|"JMLR"|"Journal of Machine Learning Research"|"http://www.jmlr.org/"
"8576"|"PHYS STATUS SOLIDI B-BASIC SO"|"Physica Status Solidi B-basic Solid State Physics"|"http://www.interscience.wiley.com/jpages/0370-1972/"
"15698"|""|"Eurosla Yearbook"|"http://www.benjamins.com/cgi-bin/t_seriesview.cgi?series=EUROSLA"
"919"|"PNAS"|"Proceedings of The National Academy of Sciences"|"http://www.pnas.org/"
"8568"|"PHYS REV D"|"Physical Review D"|"http://prd.aps.org/"
"25"|"PAMI"|"IEEE Transactions on Pattern Analysis and Machine Intelligence"|"http://computer.org/tpami/"
"796"|"AMC"|"Applied Mathematics and Computation"|"www.elsevier.com/locate/amc"
"8156"|"CHEM RES TOXICOL"|"Chemical Research in Toxicology"|"http://pubs.acs.org/journal/crtoec"
"188"|"NAR"|"Nucleic Acids Research"|"http://nar.oupjournals.org/"
"7827"|"ANN N Y ACAD SCI"|"Annals of The New York Academy of Sciences"|""
"5657"|"MATH PROBL ENG"|"Mathematical Problems in Engineering"|"http://www.hindawi.com/journals/mpe/"
"7792"|"PROSTAGLAND LEUK ESSENT FATTY"|"Prostaglandins Leukotrienes and Essential Fatty Acids"|"http://www.elsevier.com/wps/find/journaldescription.cws_home/623065/description#description"
"7792"|"PROSTAGLAND LEUK ESSENT FATTY"|"Prostaglandins Leukotrienes and Essential Fatty Acids"|"http://www.elsevier.com/wps/find/journaldescription.cws_home/623065/description#description"
"337"|"TR"|"IEEE Transactions on Reliability"|"http://www.ieee.org/organizations/pubs/transactions/tr.htm"
"2685"|"BBA-MOL BASIS DIS"|"Biochimica Et Biophysica Acta-molecular Basis of Disease"|"http://www.sciencedirect.com/science/journal/09254439"
"2685"|"BBA-MOL BASIS DIS"|"Biochimica Et Biophysica Acta-molecular Basis of Disease"|"http://www.sciencedirect.com/science/journal/09254439"
"3120"|"EUR J ANAESTH"|"European Journal of Anaesthesiology"|"http://journals.lww.com/ejanaesthesiology/pages/default.aspx"
"188"|"NAR"|"Nucleic Acids Research"|"http://nar.oupjournals.org/"
"1566"|"DOKL BIOCHEM BIOPHYS"|"Doklady Biochemistry and Biophysics"|"http://www.springerlink.com/openurl.asp?genre=journal&issn=1607-6729"
"8566"|"PHYS REV B"|"Physical Review B"|"http://prb.aps.org/"
"8156"|"CHEM RES TOXICOL"|"Chemical Research in Toxicology"|"http://pubs.acs.org/journal/crtoec"
"4496"|"COMPUT MATH APPL"|"Computers & Mathematics With Applications"|""
"3065"|"DIG LIVER DIS"|"Digestive and Liver Disease"|"http://www.elsevier.com/wps/find/journaldescription.cws_home/623449/description#description"
"3065"|"DIG LIVER DIS"|"Digestive and Liver Disease"|"http://www.elsevier.com/wps/find/journaldescription.cws_home/623449/description#description"
"5383"|"IND ENG CHEM RES"|"Industrial & Engineering Chemistry Research"|"http://pubs.acs.org/journal/iecred"
"3024"|"CURR THER RES"|"Current Therapeutic Research-clinical and Experimental"|"http://www.elsevier.com/wps/find/journaldescription.cws_home/525055/description#description"
"25"|"PAMI"|"IEEE Transactions on Pattern Analysis and Machine Intelligence"|"http://computer.org/tpami/"
"11706"|""|"Road Materials and Pavement Design"|"http://rmpd.revuesonline.com/acceuil.jsp"
"11706"|""|"Road Materials and Pavement Design"|"http://rmpd.revuesonline.com/acceuil.jsp"
"3626"|"J INVEST DERMATOL"|"Journal of Investigative Dermatology"|"http://www.nature.com/jid/index.html"
"3626"|"J INVEST DERMATOL"|"Journal of Investigative Dermatology"|"http://www.nature.com/jid/index.html"
"2550"|""|"Anesthesiology"|"http://journals.lww.com/anesthesiology/pages/default.aspx"
"8570"|"PHYS REV LETT"|"Physical Review Letters"|"http://prl.aps.org/"
"1452"|"BIOCHEM BIOPHYS RES COMMUN"|"Biochemical and Biophysical Research Communications"|"http://www.sciencedirect.com/science/journal/0006291X"
"5707"|"NUCL INSTRUM METH PHYS RES A"|"Nuclear Instruments & Methods in Physics Research Section A-accelerators Spectrometers Detectors and Associated Equipment"|"http://www.sciencedirect.com/science/journal/01689002"
"9783"|"J LANG SOC PSYCHOL"|"Journal of Language and Social Psychology"|"http://jls.sagepub.com/"
"1875"|"AICHE J"|"Aiche Journal"|""
"8582"|"PHYSICA B"|"Physica B-condensed Matter"|"http://www.elsevier.com/wps/find/journaldescription.cws_home/505712/description#description"
"5452"|"INT J ROBOTICS AUTOM"|"International Journal of Robotics & Automation"|"http://www.actapress.com/Content_of_Journal.aspx?journalID=62"
"15701"|""|"Babel"|""
"8567"|"PHYS REV C"|"Physical Review C"|"http://prc.aps.org/"
"5888"|""|"Waste Management"|"http://www.sciencedirect.com/science/journal/0956053X"
"7498"|"J VIROL"|"Journal of Virology"|"http://jvi.asm.org/"
"18"|"TC"|"IEEE Transactions on Computers"|"http://www.computer.org/portal/web/tc"
"8378"|"CLASS QUANTUM GRAVITY"|"Classical and Quantum Gravity"|"http://www.iop.org/Journals/CQG"
"4886"|"J INT ECON"|"Journal of International Economics"|"http://www.sciencedirect.com/science/journal/00221996"
"6093"|"J ENVIRON SCI HEALTH A"|"Journal of Environmental Science and Health Part A-toxic/hazardous Substances & Environmental Engineering"|""
"4064"|"PARKINSONISM RELAT DISORD"|"Parkinsonism & Related Disorders"|"http://www.sciencedirect.com/science/journal/13538020"
"11352"|"REV EDUC RES"|"Review of Educational Research"|"http://rer.sagepub.com/"
"7978"|"J CEREBR BLOOD FLOW METABOL"|"Journal of Cerebral Blood Flow and Metabolism"|"http://www.nature.com/jcbfm/index.html"
"17"|"SOFTWARE"|"IEEE Software"|"www.computer.org/software"
"8467"|"J MAGN MAGN MATER"|"Journal of Magnetism and Magnetic Materials"|"http://www.sciencedirect.com/science/journal/03048853"
"5342"|"IEEE TRANS CONTROL SYST TECHN"|"IEEE Transactions on Control Systems Technology"|"http://ieeexplore.ieee.org/xpl/RecentIssue.jsp?punumber=87"
"3380"|"INT J OSTEOPATH MED"|"International Journal of Osteopathic Medicine"|"http://www.elsevier.com/wps/find/journaldescription.cws_home/705245/description#description"
"9570"|"CAN J BEHAV SCI"|"Canadian Journal of Behavioural Science-revue Canadienne Des Sciences Du Comportement"|"http://psycnet.apa.org/journals/cbs/"
"1946"|"CHEM ENG SCI"|"Chemical Engineering Science"|""
"11060"|"LANG LEARN"|"Language Learning"|"http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1467-9922"
"7879"|"ANN NEUROL"|"Annals of Neurology"|"http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1531-8249"
"407"|""|"Neuroimage"|"http://www.apnet.com/www/journal/ni.htm"
"3428"|"IRISH J MED SCI"|"Irish Journal of Medical Science"|"http://www.ijms.ie/"
"3428"|"IRISH J MED SCI"|"Irish Journal of Medical Science"|"http://www.ijms.ie/"
"248"|""|"Science"|"http://www.sciencemag.org/"
"15278"|""|"Canadian Journal of Psychology/revue Canadienne De Psychologie"|""
"18"|"TC"|"IEEE Transactions on Computers"|"http://www.computer.org/portal/web/tc"
"4452"|"WORLD J SURGERY"|"World Journal of Surgery"|"http://www.springerlink.com/content/101185/"
