id|title|year|conferenceid|journalid|keyword
383||1997|0|8156|
873|Clarens Client and Server Applications|2003|0|299|Computer Science - Distributed, Parallel, and Cluster Computing, H.3.4
1761|The Semantic Web as a Semantic Soup|2005|0|0|
1897||2012|0|0|Particle Physics - Experiment
2431|Further results on fixed-sign solutions for a system of higher-order difference equations|2001|0|4496|Fixed-sign solutions; System of difference equations
2507|Experimental investigations on fuzzy logic for process control|2007|0|5188|Fuzzy control; Batch distillation; Polymerization; Chiller; Refrigeration
3231|An approximate model for binary azeotropic distillation design|1984|0|1946|
3377|The Asilomar report on database research|1998|0|253|Computer Science - Databases, Computer Science - Digital Libraries, H.0, H.2, H.3, H.4, H.5
3595|K-PPM: A new exact method to solve multi-objective combinatorial optimization problems|2010|0|828|Exact method; Multi-objective problem; Combinatorial optimization; Flow-shop problem
3616|Dark current simulation of GaN/AlGaN p-i-n avalanche photodiode|2009|4593|0|
3808|LUPS - A Language for Updating Logic Programs|1999|145|0|
3905|Pollen-Based Screening of Soybean Genotypes for High Temperatures|2007|0|1174|
4924|Perceptual quality assessment on B-D tradeoff of P2P assisted layered video streaming|2011|0|0|Streaming media,Delay,Quality assessment,Peer to peer computing,Humans,Multimedia communication,,
5129||2004|0|8035|
5596|On the Convergence of Leveraging|2001|187|0|
6004|Investigation of coloration of SrLaGaO 4 single crystals by X-ray photoelectron spectroscopy|2003|0|5515|SrLaGaO4; Single crystal growth; Coloration; Electronic states; X-ray photoelectron spectroscopy
6480|The Socio-Educational Model of Second-Language Learning: Assumptions, Findings, and Issues|1988|0|11060|
6547|TCAM-conscious Algorithms for Data Streams|2007|22|0|
7137|New fabrication process of anisotropic laser ceramics|2009|4250|0|
7204||1999|0|7963|
7265|Evaluación de los resultados en un artículo sobre tratamiento|0|0|0|
7397|Reflections of Realities in Jan van Eyck and Robert Campin|2004|0|0|
7634|Spontaneous Cerebral Air Embolism Associated with Remote Lung Surgery|2008|0|8041|Keywords Stroke Air embolism Pulmonary vein Pneumonectomy
7755|Identification of Paraldol-Deoxyguanosine Adducts in DNA Reacted with Crotonaldehyde|2000|0|8156|
7800|Generation and Use of Recombinant Reporter Viruses for Study of Herpes Simplex Virus Infections in Vivo|1998|0|1730|
7826|Prevention of Intra-abdominal Adhesions Using the Antiangiogenic COX-2 Inhibitor Celecoxib: |2006|0|2591|
7826|Prevention of Intra-abdominal Adhesions Using the Antiangiogenic COX-2 Inhibitor Celecoxib: |2006|0|2591|
8223|Nucleon resonance decay by the K<sup>0</sup>Σchannel|2008|0|8394|
8420|Feasible Regions for Step-Growth Melt Polycondensation Systems|2004|0|5383|
8770|The myth of the normal, average human brain—The ICBM experience: (1) Subject screening and eligibility|2009|0|407|
9363|Analysis of a Hybrid Algorithm for Packing Unequal Bins|1988|0|147|
9855|The Self as a Responding--and Responsible--Artifact|2003|0|7827|
9969|Spectroscopic studies of cyanobacterial phycobilisomes lacking core polypeptides|1989|0|1443|
10069|On Levels in Arrangement and Voronoi Diagrams|1991|0|319|
11724|Information structures in language directed architectures|1989|0|471|
11807|Control of spontaneus emission in photonic crystals|1999|1589|0|Keywords: Photonic crystals, Purcell effect, resonant enhancement, spontaneous emission.
12428|Highly Linear VHF Current-Mode Miller Integrator with 900 dB DC Gain|1995|1223|0|
12664|Realized kernels in practice: trades and quotes|2009|0|4705|HAC estimator ,Long run variance estimator ,Market frictions ,Quadratic variation ,Realized variance 
12695|Returns to Women''s Education|1993|0|0|
12780|Domain names: hierarchy in need of organization (panel session, abstract only)|1985|1652|0|
12807|Review of Searle''s the rediscovery of the mind|1993|0|0|
13362|Peritoneo-scrotal communication: demonstration by 99mTc nanocoloid scintigraphy|2010|0|0|
13454|Exploiting Synergy Between Ontologies and Recommender Systems|2002|0|0|Learning, Multiagent Systems, K.3.2, I.2.11
13882|Initiating Organizational Memories using Ontology-based Network Analysis as a Bootstrapping Tool|0|0|0|
13894|PERFORMANCE IMPACT OF THE GRID MIDDLEWARE|2006|0|0|
13894|PERFORMANCE IMPACT OF THE GRID MIDDLEWARE|2006|0|0|
14125||1997|0|8156|
14540||1985|0|7978|Cerebral blood flow,Neurobehavioral tasks,Oxygen-15-labeled water,Positron computed tomography
14540||1985|0|7978|Cerebral blood flow,Neurobehavioral tasks,Oxygen-15-labeled water,Positron computed tomography
14634|Meta Learning: Learning to Predict the Leave-one-out Error|0|0|0|
14742|Generalization of a retarded Gronwall-like inequality and its applications|2005|0|796|Integral inequality; Global existence; Estimation; Retarded differential equations
15157|Model selection for automated reconstruction from multiple views|2002|541|0|
15461|Three kinds of intentional psychology|1987|0|0|
15471|Adsorption of Cu2+ ions on humic acids|2001|0|5786|
15516||2011|0|441|Particle Physics - Experiment
15970|Taylor’s Series|0|0|0|
16265|Sequences and Series of Functions|0|0|0|
16394|Integrating MMASS with a hybrid commonsense spatial logic|2006|0|0|
16449|MOODD, a Method for Object-Oriented Database Design|1995|0|153|Object-Oriented Database; Conceptual database design; Entity-Relationship; Natural language; Requirement specification language
16790|Regularized Principal Manifolds|2001|0|126|
17008|Energy Band Structure of PbMg1/3Nb2/3O3|1992|0|8576|
17129|Linkage disequilibrium study with a parallel adaptive GA|2005|0|73|Keywords: Adaptive mechanisms, Genetic algorithms, Linkage disequilibrium.
17213|The socio-educational model of Second Language Acquisition: A research paradigm|2006|0|15698|
17392|Oxidation States of the Manganese Cluster during the Flash-Induced S-State Cycle of the Photosynthetic Oxygen-Evolving Complex|1996|0|919|
17804|Gesture Affordances of Musical Sound|2010|0|0|
18725|Study of the electromagnetic background in the XENON100 experiment|2011|0|8568|Dark matter, Radiation detectors, Atomic excitation and ionization by electron impact
18759|Stereo Matching with Linear Superposition of Layers|2006|0|25|Index Terms- Stereo matching; layer extraction; plane sweep.; reflection; transparency
19286|High-Resolution Structure of the Photosynthetic Mn4Ca Catalyst From X-Ray Spectroscopy|2009|0|0|
19294|Classification of normal swallowing and oropharyngeal dysphagia using wavelet|2009|0|796|Swallowing dynamics; Dysphagia; Discrete wavelet transform; Pattern classification
19330|Identifying DOS Attacks Using Data Pattern Analysis|2008|0|0|Firewall,denial of service,baseline,intrusion detection,network security
19582|Multiresolution Image Segmentation|2008|0|0|
19582|Multiresolution Image Segmentation|2008|0|0|
20444|A fieldbus prototype for educational purposes|2004|0|5315|
20673|Coordination and Free Riding: A Partnership Solution to the Common-Property Problem|2006|0|0|
21243||2003|0|8156|
21436|The Detection of Abnormal Masses in Mammograms|1997|0|0|
21501|The nucleotide sequences of 5S ribosomal RNAs from two plants: rape and white beet|1987|0|188|
21545|Factors underlying category-specific semantic deficits|2002|0|0|
21798|Increased Cyclooxygenase-2 Expression Associated with Inflammatory Cellular Infiltration in Elderly Patients with Vulvar Cancer|2007|0|7827|
22207|Eigenvalues of boundary value problems for higher order differential equations|1996|0|5657|
22641|Obstrucción maligna de la vena cava superior Malign obstruction of the superior vena cava|2004|0|0|Key words. Superior vena cava. Obstruction. Malign tumours.
23041|Reconstructing Occluded Surfaces Using Synthetic Apertures: Stereo, Focus and Robust Measures|2006|838|0|
23181|Mouse oocyte quality and prostaglandin synthesis by cumulus oocyte complex after moderate chronic ethanol intake|1998|0|7792|
23181|Mouse oocyte quality and prostaglandin synthesis by cumulus oocyte complex after moderate chronic ethanol intake|1998|0|7792|
23624|Supervisory "eld-oriented control of induction motors with uncertain rotor resistance|2001|0|0|KEY WORDS: supervisory control; indirect "eld-oriented control; induction motors
23738|Search for Diphoton Events with Large Missing Transverse Energy in 7 TeV Proton-Proton Collisions with the ATLAS Detector|2010|0|0|Particle Physics - Experiment
24074|Hemangioma rubi no couro cabeludo * Cherry hemangioma in the scalp |0|0|0|Key-words: scalp; hemangioma.
24145|A Gaussian Multiresolution Medical Image Segmentation Algorithm|2003|-1|0|
24145|A Gaussian Multiresolution Medical Image Segmentation Algorithm|2003|-1|0|
24229|Reusable hypertext structures for distance and JIT learning|2000|745|0|
24605|Quantifying the ICT Needs of Academic Institutes Using the Service Category-Stakeholder Matrix Approach|2008|4039|0|Digital Library; E-learning; Information and Communication Technology (ICT); Services-Stakeholder Matrix
24705||2009|0|3224|
24943|Temperature profile of elliptic bore journal bearing|2007|0|5876|Elliptic bore; Journal bearing; Temperature profile; Film thickness; Pressure
24943|Temperature profile of elliptic bore journal bearing|2007|0|5876|Elliptic bore; Journal bearing; Temperature profile; Film thickness; Pressure
