"paperid"|"authorid"|"name"|"affiliation"
"383"|"2276"|"Stephen S. Hecht"|""
"873"|"426"|"Michael Thomas"|"California Institute of Technology"
"1761"|"3649"|"Harith Alani"|"Electronics & Computer Science|University of Southampton"
"1897"|"2948"|"Janet Carter"|"Cambridge U."
"2431"|"3897"|"R. P. Agarwal"|""
"2507"|"55"|"Jose Pereira"|"HASLab / INESC TEC and Universidade do Minho"
"3231"|"7703"|"Michael F. Doherty"|""
"3377"|"814"|"Jeffrey F. Naughton"|""
"3595"|"724"|"Clarisse Dhaenens"|""
"3616"|"7457"|"X. Y. Li"|""
"3808"|"336"|"Halina Przymusinska"|"California State Polytechnic Univ Dept. Computer Science Pomona CA 91768 USA"
"3905"|"6874"|"Mohammed Abdel-Megeed Mohammed Salem"|"Ain Shams University in Cairo"
"4924"|"1832"|"Dah Ming Chiu"|"Department of Information Engineering, The Chinese University of Hong Kong, China"
"5129"|"2528"|"John C. Mazziotta"|""
"5596"|"6783"|"Sebastian Mika"|""
"6004"|"4057"|"E. Talik"|"Chelkowski Institute of Physics, University of Silesia, 40-007 Katowice, Poland"
"6480"|"4402"|"R. C. Gardner"|""
"6547"|"2842"|"Ahmed Metwally"|"Department of Computer Science|University of California , Santa Barbara"
"7137"|"5659"|"Y. Sato"|""
"7204"|"2528"|"John C. Mazziotta"|""
"7265"|"4632"|"Ortega R"|"Unidad de Medicina Basada en Evidencia|Pontificia Universidad Católica de Chile"
"7397"|"1312"|"S. B. Kang"|""
"7634"|"4402"|"Robert Gardner"|"Washington University School of Medicine Department of Neurology Saint Louis MO USA"
"7755"|"2276"|"Stephen S. Hecht"|""
"7800"|"4071"|"David C. Bloom"|""
"7826"|"4272"|"Ronan A. Cahill"|"Royal College of Surgeons of Ireland"
"7826"|"4272"|"Ronan A. Cahill"|""
"8223"|"7915"|"D. Walther"|"Universität Bonn Physikalisches Institut Germany"
"8420"|"7703"|"Michael F. Doherty"|""
"8770"|"2528"|"John C. Mazziotta"|"Department of Neurology|School of Medicine"
"9363"|"1620"|"Frederick S. Kuhl"|""
"9855"|"1246"|"D. C. Dennett"|""
"9969"|"8101"|"K SAUER"|""
"10069"|"6683"|"Ketan Mulmuley"|""
"11724"|"6241"|"R. Katti"|""
"11807"|"5505"|"Roberto Coccioli"|"Electrical Engineering Department, Glasgow University"
"12428"|"334"|"Edmund Pierzchala"|""
"12664"|"4078"|"A. Lunde"|""
"12695"|"2763"|"T. Paul Schultz"|""
"12780"|"659"|"Douglas Comer"|""
"12807"|"1246"|"D. Dennett"|""
"13362"|"8495"|"David Carrera"|"Universitat Politècnica de Catalunya"
"13454"|"3649"|"Harith Alani"|""
"13882"|"3649"|"Harith Alani"|"Multimedia Group|Electronics and Computer Science Department|University of Southampton"
"13894"|"8495"|"David Carrera"|""
"13894"|"8495"|"David Carrera"|"Universitat Politècnica de Catalunya"
"14125"|"2276"|"Stephen S. Hecht"|""
"14540"|"2528"|"John C. Mazziotta"|""
"14540"|"2528"|"Dr. J.C. Mazziotta"|"Department of Neurology, Reed Neurologic Research Institute, UCLA School of Medicine"
"14634"|"6783"|"Sebastian Mika"|"University of Potsdam|Electrotechnical Laboratory"
"14742"|"3897"|"Ravi P. Agarwal"|""
"15157"|"3876"|"Tomás Werner"|""
"15461"|"1246"|"D. C. Dennett"|""
"15471"|"55"|"Jose Pereira"|"HASLab / INESC TEC and Universidade do Minho"
"15516"|"2948"|"Janet Carter"|"Cambridge U."
"15970"|"3897"|"Ravi P. Agarwal"|"Department of Mathematics, Florida Institute of Technology, Melbourne, FL 32901, USA"
"16265"|"3897"|"Ravi P. Agarwal"|"Department of Mathematics, Florida Institute of Technology, Melbourne, FL 32901, USA"
"16394"|"1118"|"Alessandro Mosca"|""
"16449"|"4926"|"C. Robert Carlson"|""
"16790"|"6783"|"Sebastian Mika"|""
"17008"|"745"|"A. V. Soldatov"|""
"17129"|"724"|"Clarisse Dhaenens"|""
"17213"|"4402"|"Robert C. Gardner"|""
"17392"|"8101"|"Kenneth Sauer"|""
"17804"|"4678"|"Rolf Inge Godøy"|""
"18725"|"1656"|"D. Thers"|""
"18759"|"1312"|"Sing Bing Kang"|""
"19286"|"8101"|"K. Sauer"|""
"19294"|"55"|"Jose Pereira"|"HASLab / INESC TEC and Universidade do Minho"
"19330"|"6874"|"Mohammed Abdel-Megeed Mohammed Salem"|"Ain Shams University in Cairo"
"19582"|"6874"|"Mohammed Abdel-Megeed Mohammed Salem"|""
"19582"|"6874"|"Mohammed Abdel-Megeed Mohammed Salem"|"Ain Shams University in Cairo"
"20444"|"55"|"Jose Pereira"|"HASLab / INESC TEC and Universidade do Minho"
"20673"|"2848"|"Stephen W. Salant"|""
"21243"|"2276"|"Stephen S. Hecht"|""
"21436"|"1752"|"James E. Schumm"|"Wolfson Image Analysis Unit|University of Manchester"
"21501"|"3195"|"Jan Barciszewski"|""
"21545"|"5492"|"Ken McRae"|"University of Western Ontario"
"21798"|"1312"|"S. B. Kang"|""
"22207"|"3897"|"Ravi P. Agarwal"|""
"22641"|"5264"|"E. Martínez"|""
"23041"|"1312"|"Sing Bing Kang"|""
"23181"|"6352"|"A. Lasserre"|""
"23181"|"6352"|"A. Lasserre"|"Victor Segalen Bordeaux 2 University"
"23624"|"4632"|"R. Ortega"|""
"23738"|"2948"|"Janet Carter"|"Cambridge U."
"24074"|"55"|"Jose Pereira"|"HASLab / INESC TEC and Universidade do Minho"
"24145"|"6874"|"Mohammed Abdel-Megeed Mohammed Salem"|""
"24145"|"6874"|"Mohammed Abdel-Megeed Mohammed Salem"|"Ain Shams University in Cairo"
"24229"|"4500"|"Anne Morgan Spalter"|""
"24605"|"6874"|"Mohammed Abdel-Megeed Mohammed Salem"|"Ain Shams University in Cairo"
"24705"|"5264"|"Elisabeth Martínez"|""
"24943"|"731"|"P C Mishra"|"KIIT University Kalinga Institute of Industrial Technology"
"24943"|"731"|"P. C. Mishra"|"Wolfson School of Mechanical and Manufacturing Engineering, Loughborough University, LE11 3TU, UK"
"25058"|"4039"|"Yashwant K. Malaiya"|""
"25093"|"2948"|"Janet Carter"|"Cambridge U."
"25103"|"55"|"Jose Pereira"|"HASLab / INESC TEC and Universidade do Minho"
"25205"|"2402"|"Peter J. Olver"|""
"25304"|"55"|"Jose Pereira"|"HASLab / INESC TEC and Universidade do Minho"
"25419"|"7521"|"David Alex Lamb"|"Computing and Information Science, Queen’s University, Kingston, Ontario, Canada CA"
"25546"|"2763"|"T. Schultz"|""
"25733"|"826"|"Emanuele Buratti"|""
"25733"|"826"|"Emanuele Buratti"|"The International Centre for Genetic Engineering and Biotechnology, Padriciano 66, Trieste, Italy"
"25768"|"5264"|"E. Martinez"|""
"26162"|"4157"|"Andreas Worms"|"European Central Bank"
"26214"|"8270"|"B. Golden"|""
"26530"|"1302"|"D. Hix"|""
"28898"|"724"|"Clarisse Dhaenens"|""
"29283"|"3339"|"V. E. Stefanov"|"St. Petersburg State University, Universitetskaya nab. 7/9, St. Petersburg, 199034 Russia"
"29398"|"745"|"A. V. Soldatov"|"Dipartimento di Fisica, Universita di Roma La Sapienza'' 00185, Roma Italy"
"29472"|"250"|"Mark L. Manwaring"|""
"30629"|"6827"|"William Masters"|""
"33538"|"2276"|"Stephen S. Hecht"|""
"33825"|"3897"|"R. P. Agarwal"|""
"33952"|"7393"|"R. J B Wets"|""
"34143"|"8039"|"Andrew Laffely"|"Department of Electrical and Computer Engineering|University of Massachusetts , Amherst"
"34156"|"4272"|"Ronan A. Cahill"|"Royal College of Surgeons of Ireland"
"34156"|"4272"|"R. A. Cahill"|"Department of Department of Surgery, Cork University Hospital, Cork, Ireland"
"34723"|"7703"|"Michael F. Doherty"|""
"34773"|"5659"|"Yoichi Sato"|"Second Department of Internal Medicine, Asahikawa Medical College, Hokkaido, Japan"
"35089"|"1312"|"Sing Bing Kang"|""
"35242"|"2453"|"Hélène Rey"|"London Business School; Centre for Economic Policy Research (CEPR)"
"35261"|"6768"|"George Nagy"|""
"36457"|"7066"|"Antonio Gomes Correia"|"Universidade do Minho"
"36457"|"7066"|"A Gomes Correia"|""
"36459"|"55"|"Jose Pereira"|"HASLab / INESC TEC and Universidade do Minho"
"36533"|"4203"|"Alan D Irvine"|"Department of Paediatric Dermatology, Our Lady's Children's Hospital,Department of Medicine, Trinity College Dublin"
"36533"|"4203"|"Alan D. Irvine"|""
"36536"|"8495"|"David Carrera"|"Universitat Politècnica de Catalunya"
"36725"|"7529"|"Thomas Symul"|""
"37244"|"6587"|"Yutaka Ashida"|""
"37257"|"426"|"Michael Thomas"|"California Institute of Technology"
"37690"|"2842"|"Ahmed Metwally"|""
"37902"|"745"|"A. V. Soldatov"|""
"37977"|"1955"|"Eran Borenstein"|"The Weizmann Institute of Science Dept. of Computer Science and Applied Math Rehovot 76100 Israel"
"38355"|"2300"|"Nicholas Basta"|""
"39018"|"6783"|"Sebastian Mika"|"GMD FIRST Rudower Chaussee 5 12489 Berlin Germany"
"39666"|"4926"|"C. Robert Carlson"|"Illinois Institute of Technology Department of Computer Science 201 East Loop Road Wheaton Illinois 60187 USA"
"39950"|"1476"|"S. Van Wijnbergen"|""
"40294"|"55"|"Jose Pereira"|"HASLab / INESC TEC and Universidade do Minho"
"40542"|"4402"|"Robert C. Gardner"|"University of Western Ontario"
"41148"|"5659"|"Yoichi Sato"|""
"42119"|"7066"|"Antonio Gomes Correia"|"Universidade do Minho"
"42346"|"3897"|"Ravi P. Agarwal"|"Department of Mathematics, Florida Institute of Technology, Melbourne, FL 32901, USA"
"42494"|"7703"|"Michael F. Doherty"|""
"42518"|"6683"|"Ketan D. Mulmuley"|""
"42528"|"7530"|"Jose A. Senso"|""
"42761"|"6768"|"George Nagy"|""
"42966"|"55"|"Jose Pereira"|"HASLab / INESC TEC and Universidade do Minho"
"43015"|"745"|"A. V. Soldatov"|"Department of Physics, Rostov University, Russian Federation"
"43323"|"3201"|"David Harris"|""
"43502"|"339"|"Jae-hoon Kim"|"Pusan University of Foreign Studies Department of Computer Engineering Pusan 608-738 Korea"
"43828"|"8316"|"Jur P. Van Den Berg"|""
"44126"|"8147"|"Assaf Shacham"|"Department of Electrical Engineering|Columbia University"
"44413"|"325"|"Z. Song"|""
"44464"|"1312"|"Sing Bing Kang"|""
"44471"|"1963"|"Wafic A. Sabra"|""
"44798"|"8888"|"Jordi Forné"|""
"44957"|"207"|"R. Granat"|""
"45079"|"8316"|"Jur P. Van Den Berg"|"University of Groningen Institute for Mathematics and Computing Science P.O.B. 800 9700 AV Groningen The Netherlands"
"45282"|"2915"|"Chris F. Bouwhuisen"|""
"45615"|"7530"|"José A. Senso"|""
"45660"|"8874"|"Ramaswamy Chandramouli"|"Computer Security Division"
