"authorid"|"paperid"
"826"|"25733"
"826"|"47276"
"826"|"77012"
"826"|"79468"
"826"|"87141"
"826"|"101385"
"826"|"104556"
"826"|"111260"
"826"|"116923"
"826"|"118648"
"826"|"228773"
"826"|"295435"
"826"|"300715"
"826"|"302130"
"826"|"310637"
"826"|"314641"
"826"|"338324"
"826"|"373545"
"826"|"426723"
"826"|"447937"
"826"|"510474"
"826"|"517776"
"826"|"533641"
"826"|"538977"
"826"|"592575"
"826"|"600927"
"826"|"672626"
"826"|"698805"
"826"|"700683"
"826"|"723435"
"826"|"746784"
"826"|"785562"
"826"|"808429"
"826"|"890199"
"826"|"897009"
"826"|"913794"
"826"|"936615"
"826"|"945411"
"826"|"1026529"
"826"|"1034798"
"826"|"1047040"
"826"|"1114058"
"826"|"1157180"
"826"|"1204132"
"826"|"1217013"
"826"|"1221505"
"826"|"1222881"
"826"|"1223801"
"826"|"1236661"
"826"|"1243916"
"826"|"1296119"
"826"|"1351053"
"826"|"1413981"
"826"|"1487102"
"826"|"1503751"
"826"|"1516844"
"826"|"1573814"
"826"|"1582180"
"826"|"1591758"
"826"|"1592682"
"826"|"1595073"
"826"|"1601536"
"826"|"1638967"
"826"|"1676317"
"826"|"1685169"
"826"|"1707309"
"826"|"1778983"
"826"|"1836292"
"826"|"1866316"
"826"|"1872891"
"826"|"1905067"
"826"|"1906261"
"826"|"1985278"
"826"|"2108882"
"826"|"2117473"
"826"|"2140936"
"826"|"2149742"
"826"|"2182681"
"826"|"2186283"
"826"|"2208076"
"933"|"1739240"
"1118"|"49963"
"1118"|"93433"
"1118"|"341015"
"1118"|"415282"
"1118"|"488635"
"1118"|"517119"
"1118"|"521922"
"1118"|"911302"
"1118"|"1183023"
"1118"|"1273213"
"1118"|"1388769"
"1118"|"1410287"
"1118"|"1504258"
"1118"|"1516619"
"1118"|"1775910"
"1118"|"2060484"
"1118"|"2143292"
"2783"|"154377"
"2783"|"212636"
"2783"|"334024"
"2783"|"350747"
"2783"|"696269"
