"authorid"|"paperid"
"826"|"220293"
"826"|"379873"
"826"|"384468"
"826"|"565252"
"826"|"939749"
"826"|"944658"
"826"|"1164760"
"826"|"1659466"
"826"|"1810229"
"826"|"1832762"
"826"|"1982963"
"826"|"1987959"
"933"|"477879"
"1118"|"961444"
"1118"|"1446566"
"2783"|"208521"
"2783"|"1207662"
"2783"|"1898210"
"3105"|"191079"
"3105"|"226980"
"3105"|"273592"
"3105"|"529834"
"3105"|"556687"
"3105"|"1052455"
"3105"|"1319449"
"3105"|"1381158"
"3105"|"1698510"
"3105"|"1714445"
"3144"|"1503087"
"3144"|"1752173"
"3144"|"1830270"
"3144"|"1987169"
"4203"|"309526"
"4272"|"2105256"
"6352"|"1696389"
"6352"|"2187792"
"6874"|"3905"
"6874"|"19330"
"6874"|"24605"
"6874"|"171132"
"6874"|"208117"
"6874"|"629107"
"6874"|"752277"
"6874"|"783347"
"6874"|"819536"
"6874"|"877394"
"6874"|"1097445"
"6874"|"1210330"
"6874"|"1398626"
"6874"|"1414161"
"6874"|"1463883"
"6874"|"1516396"
"6874"|"1531051"
"6874"|"1543300"
"6874"|"1760721"
"6874"|"1819723"
"6874"|"1822706"
"6874"|"2011069"
"6874"|"2015333"
"6874"|"2057958"
"6874"|"2086533"
"6874"|"2121501"
"6874"|"2196653"
"7482"|"1732570"
"8342"|"631680"
"8358"|"47077"
"8358"|"81046"
"8358"|"102358"
"8358"|"113118"
"8358"|"148199"
"8358"|"149789"
"8358"|"170132"
"8358"|"222236"
"8358"|"244973"
"8358"|"246314"
"8358"|"362411"
"8358"|"363243"
"8358"|"367252"
"8358"|"406199"
"8358"|"410765"
"8358"|"424244"
"8358"|"457220"
"8358"|"533566"
"8358"|"540981"
"8358"|"550550"
"8358"|"566239"
"8358"|"598857"
"8358"|"611665"
"8358"|"628753"
"8358"|"656482"
"8358"|"660193"
"8358"|"662069"
"8358"|"663149"
"8358"|"693722"
"8358"|"698682"
"8358"|"699694"
"8358"|"713786"
"8358"|"809160"
"8358"|"830059"
"8358"|"831285"
"8358"|"832029"
"8358"|"875822"
"8358"|"889287"
"8358"|"930802"
"8358"|"932968"
"8358"|"945842"
"8358"|"952432"
"8358"|"959326"
"8358"|"975144"
"8358"|"1005093"
"8358"|"1064309"
"8358"|"1081467"
"8358"|"1091478"
"8358"|"1102497"
"8358"|"1134740"
"8358"|"1166296"
"8358"|"1176945"
"8358"|"1211724"
"8358"|"1261638"
"8358"|"1291889"
"8358"|"1307444"
"8358"|"1340408"
"8358"|"1403146"
"8358"|"1420503"
"8358"|"1430999"
"8358"|"1451930"
"8358"|"1478886"
"8358"|"1500373"
"8358"|"1523283"
"8358"|"1583661"
"8358"|"1605875"
"8358"|"1612422"
"8358"|"1623378"
"8358"|"1708209"
"8358"|"1715869"
"8358"|"1717140"
"8358"|"1776723"
"8358"|"1785208"
"8358"|"1832385"
"8358"|"1894951"
"8358"|"1902941"
"8358"|"1918965"
"8358"|"1927920"
"8358"|"1998711"
"8358"|"2014514"
"8358"|"2021376"
"8358"|"2022795"
"8358"|"2036918"
"8358"|"2043973"
"8358"|"2130756"
"8358"|"2160392"
"8358"|"2194640"
"8358"|"2202830"
"8358"|"2227127"
"8358"|"2243515"
"8358"|"2251243"
"8495"|"13362"
"8495"|"36536"
"8495"|"98827"
"8495"|"282427"
"8495"|"360880"
"8495"|"381101"
"8495"|"459616"
"8495"|"461671"
"8495"|"465388"
"8495"|"533352"
"8495"|"561749"
"8495"|"582266"
"8495"|"608145"
"8495"|"638823"
"8495"|"667451"
"8495"|"755553"
"8495"|"813390"
"8495"|"838705"
"8495"|"862159"
"8495"|"913131"
"8495"|"920386"
"8495"|"924510"
"8495"|"945555"
"8495"|"949839"
"8495"|"1029328"
"8495"|"1064177"
"8495"|"1065215"
"8495"|"1091656"
"8495"|"1103339"
"8495"|"1139411"
"8495"|"1195563"
"8495"|"1259967"
"8495"|"1282394"
"8495"|"1284954"
"8495"|"1351819"
"8495"|"1411730"
"8495"|"1453840"
"8495"|"1464248"
"8495"|"1474242"
"8495"|"1544759"
"8495"|"1545502"
"8495"|"1566965"
"8495"|"1672248"
"8495"|"1673068"
"8495"|"1747262"
"8495"|"1813575"
"8495"|"1864345"
"8495"|"1867170"
"8495"|"1875171"
"8495"|"1901891"
"8495"|"1909107"
"8495"|"2072920"
"8495"|"2117052"
"8495"|"2179720"
"8495"|"2184949"
"8495"|"2225161"
"8495"|"2233817"
"8495"|"2239865"
