"authorid"|"paperid"
"55"|"2507"
"55"|"15471"
"55"|"19294"
"55"|"20444"
"55"|"24074"
"55"|"25103"
"55"|"25304"
"55"|"36459"
"55"|"40294"
"55"|"42966"
"55"|"47028"
"55"|"50011"
"55"|"52775"
"55"|"55193"
"55"|"68389"
"55"|"68780"
"55"|"69178"
"55"|"75169"
"55"|"75356"
"55"|"77268"
"55"|"82669"
"55"|"82789"
"55"|"85184"
"55"|"95899"
"55"|"102768"
"55"|"108616"
"55"|"109868"
"55"|"110515"
"55"|"122970"
"55"|"128962"
"55"|"129165"
"55"|"136767"
"55"|"138408"
"55"|"138526"
"55"|"139335"
"55"|"144775"
"55"|"145200"
"55"|"151248"
"55"|"153324"
"55"|"156007"
"55"|"157653"
"55"|"160532"
"55"|"161497"
"55"|"164850"
"55"|"166298"
"55"|"167677"
"55"|"169774"
"55"|"178136"
"55"|"178422"
"55"|"178497"
"55"|"179163"
"55"|"185529"
"55"|"188583"
"55"|"191340"
"55"|"197854"
"55"|"209987"
"55"|"217562"
"55"|"222469"
"55"|"222631"
"55"|"224005"
"55"|"228600"
"55"|"241121"
"55"|"243218"
"55"|"248390"
"55"|"250051"
"55"|"251879"
"55"|"258012"
"55"|"264821"
"55"|"267444"
"55"|"269210"
"55"|"275203"
"55"|"282173"
"55"|"283152"
"55"|"285210"
"55"|"292208"
"55"|"293806"
"55"|"294906"
"55"|"295041"
"55"|"299391"
"55"|"300323"
"55"|"311565"
"55"|"312517"
"55"|"313273"
"55"|"317855"
"55"|"322106"
"55"|"327692"
"55"|"327786"
"55"|"330142"
"55"|"337774"
"55"|"341776"
"55"|"341809"
"55"|"341916"
"55"|"348351"
"55"|"360278"
"55"|"360533"
"55"|"362297"
"55"|"366499"
"55"|"367455"
"55"|"368324"
"55"|"369796"
"55"|"372043"
"55"|"372836"
"55"|"372994"
"55"|"374924"
"55"|"375494"
"55"|"375645"
"55"|"380270"
"55"|"389256"
"55"|"391076"
"55"|"391835"
"55"|"393613"
"55"|"396571"
"55"|"397455"
"55"|"400429"
"55"|"400432"
"55"|"401485"
"55"|"402085"
"55"|"411010"
"55"|"413987"
"55"|"415449"
"55"|"415677"
"55"|"417586"
"55"|"418934"
"55"|"419865"
"55"|"423069"
"55"|"424703"
"55"|"427091"
"55"|"427328"
"55"|"429669"
"55"|"433440"
"55"|"433613"
"55"|"434161"
"55"|"434255"
"55"|"440944"
"55"|"441057"
"55"|"441364"
"55"|"443598"
"55"|"443903"
"55"|"446774"
"55"|"449667"
"55"|"452096"
"55"|"462613"
"55"|"464497"
"55"|"468963"
"55"|"478547"
"55"|"479932"
"55"|"487867"
"55"|"491228"
"55"|"493623"
"55"|"493921"
"55"|"494493"
"55"|"500411"
"55"|"501918"
"55"|"507841"
"55"|"511272"
"55"|"515706"
"55"|"518886"
"55"|"520007"
"55"|"520682"
"55"|"529078"
"55"|"529900"
"55"|"530550"
"55"|"533875"
"55"|"538215"
"55"|"542459"
"55"|"545233"
"55"|"548812"
"55"|"558232"
"55"|"561429"
"55"|"563378"
"55"|"566388"
"55"|"567439"
"55"|"569149"
"55"|"569738"
"55"|"571156"
"55"|"577846"
"55"|"580095"
"55"|"583593"
"55"|"589720"
"55"|"590824"
"55"|"590988"
"55"|"596639"
"55"|"599636"
"55"|"600193"
"55"|"600343"
"55"|"601175"
"55"|"602590"
"55"|"605597"
"55"|"605718"
"55"|"607208"
"55"|"609556"
"55"|"616823"
"55"|"617344"
"55"|"618099"
"55"|"627473"
"55"|"629576"
"55"|"633416"
"55"|"636227"
"55"|"640178"
"55"|"640883"
"55"|"645843"
"55"|"649131"
"55"|"649955"
"55"|"651888"
"55"|"652442"
"55"|"655318"
"55"|"657724"
"55"|"662811"
"55"|"666181"
"55"|"671895"
"55"|"674836"
"55"|"683325"
"55"|"685489"
"55"|"686632"
"55"|"690310"
"55"|"697076"
"55"|"699144"
"55"|"701621"
"55"|"707333"
"55"|"716659"
"55"|"717808"
"55"|"720336"
"55"|"732607"
"55"|"733374"
"55"|"733638"
"55"|"739353"
"55"|"742557"
"55"|"744480"
"55"|"745317"
"55"|"747730"
"55"|"749124"
"55"|"753581"
"55"|"757830"
"55"|"761011"
"55"|"762178"
"55"|"766130"
"55"|"767668"
"55"|"768943"
"55"|"778260"
"55"|"778747"
"55"|"782195"
"55"|"783611"
"55"|"787171"
"55"|"787670"
"55"|"787757"
"55"|"791391"
"55"|"794747"
"55"|"800859"
"55"|"801400"
"55"|"801725"
"55"|"803603"
"55"|"805860"
"55"|"809176"
"55"|"810770"
"55"|"810900"
"55"|"812510"
"55"|"816840"
"55"|"819589"
"55"|"821861"
"55"|"823685"
"55"|"824229"
"55"|"824805"
"55"|"836220"
"55"|"836602"
"55"|"836932"
"55"|"837051"
"55"|"838147"
"55"|"839470"
"55"|"842748"
"55"|"844326"
"55"|"847068"
"55"|"847721"
"55"|"847749"
"55"|"849805"
"55"|"852486"
"55"|"855331"
"55"|"857434"
"55"|"860343"
"55"|"860367"
"55"|"861633"
"55"|"862499"
"55"|"867779"
"55"|"869430"
"55"|"869813"
"55"|"873533"
"55"|"878611"
"55"|"878853"
"55"|"883792"
"55"|"885156"
"55"|"889545"
"55"|"898876"
"55"|"913529"
"55"|"914441"
"55"|"916062"
"55"|"918326"
"55"|"919007"
"55"|"933473"
"55"|"939887"
"55"|"944768"
"55"|"947880"
"55"|"949475"
"55"|"951610"
"55"|"965304"
"55"|"973193"
"55"|"981085"
"55"|"991821"
"55"|"998325"
"55"|"1000445"
"55"|"1002385"
"55"|"1003588"
"55"|"1006063"
"55"|"1012283"
"55"|"1017616"
"55"|"1028676"
"55"|"1030869"
"55"|"1032043"
"55"|"1034482"
"55"|"1038114"
"55"|"1039736"
"55"|"1040990"
"55"|"1044866"
"55"|"1051041"
"55"|"1051834"
"55"|"1057692"
"55"|"1058628"
"55"|"1058984"
"55"|"1065523"
"55"|"1068666"
"55"|"1079484"
"55"|"1079496"
"55"|"1081944"
"55"|"1087938"
"55"|"1088098"
"55"|"1095626"
"55"|"1106983"
"55"|"1111248"
"55"|"1113127"
"55"|"1114808"
"55"|"1117699"
"55"|"1120846"
"55"|"1124696"
"55"|"1127766"
"55"|"1129545"
"55"|"1130940"
"55"|"1131277"
"55"|"1131748"
"55"|"1134037"
"55"|"1147447"
"55"|"1149308"
"55"|"1153819"
"55"|"1157610"
"55"|"1162408"
"55"|"1165889"
"55"|"1166498"
"55"|"1169763"
"55"|"1170435"
"55"|"1173588"
"55"|"1175552"
"55"|"1182092"
"55"|"1183554"
"55"|"1200417"
"55"|"1200622"
"55"|"1204075"
"55"|"1208855"
"55"|"1212786"
"55"|"1213444"
"55"|"1218501"
"55"|"1221789"
"55"|"1224097"
"55"|"1224720"
"55"|"1226103"
"55"|"1230662"
"55"|"1231449"
"55"|"1231847"
"55"|"1232116"
"55"|"1234065"
"55"|"1235117"
"55"|"1236357"
"55"|"1246558"
"55"|"1246911"
"55"|"1247571"
"55"|"1253687"
"55"|"1254356"
"55"|"1258087"
"55"|"1258466"
"55"|"1263351"
"55"|"1265959"
"55"|"1267968"
"55"|"1268197"
"55"|"1268918"
"55"|"1272277"
"55"|"1275261"
"55"|"1279252"
"55"|"1281589"
"55"|"1283236"
"55"|"1287246"
"55"|"1290673"
"55"|"1291570"
"55"|"1292671"
"55"|"1294041"
"55"|"1296398"
"55"|"1299922"
"55"|"1303769"
"55"|"1306853"
"55"|"1309499"
"55"|"1309753"
"55"|"1311582"
"55"|"1314361"
"55"|"1315501"
"55"|"1315957"
"55"|"1318181"
"55"|"1318932"
"55"|"1321344"
"55"|"1324071"
"55"|"1328475"
"55"|"1330055"
"55"|"1330500"
"55"|"1333822"
"55"|"1334503"
"55"|"1334565"
"55"|"1336245"
"55"|"1338645"
"55"|"1340284"
"55"|"1341262"
"55"|"1347683"
"55"|"1348168"
"55"|"1350211"
"55"|"1355338"
"55"|"1358761"
"55"|"1358815"
"55"|"1360578"
"55"|"1368392"
"55"|"1369596"
"55"|"1373323"
"55"|"1374577"
"55"|"1376095"
"55"|"1384633"
"55"|"1389430"
"55"|"1389913"
"55"|"1390814"
"55"|"1392908"
"55"|"1394715"
"55"|"1401976"
"55"|"1402396"
"55"|"1404308"
"55"|"1406810"
"55"|"1409438"
"55"|"1412366"
"55"|"1412697"
"55"|"1417252"
"55"|"1420910"
"55"|"1421288"
"55"|"1425243"
"55"|"1426341"
"55"|"1432571"
"55"|"1441833"
"55"|"1453295"
"55"|"1457884"
"55"|"1464112"
"55"|"1470552"
"55"|"1471568"
"55"|"1473948"
"55"|"1475480"
"55"|"1477509"
"55"|"1480374"
"55"|"1481605"
"55"|"1482854"
"55"|"1484358"
"55"|"1487068"
"55"|"1488589"
"55"|"1490929"
"55"|"1493998"
"55"|"1495079"
"55"|"1501821"
"55"|"1503094"
"55"|"1503337"
"55"|"1505207"
